Time,Ambient Temperature (?C),Relative Humidity (%)
16:00:00,34.21,33.84
16:01:00,34.41,33.89
16:02:00,34.31,33.86
16:03:00,34.08,33.8
16:04:00,33.93,33.8
16:05:00,33.89,34.26
16:06:00,34.07,34.41
16:07:00,34.44,34.34
16:08:00,34.49,34.01
16:09:00,34.28,34.18
16:10:00,34.18,34.02
16:11:00,34.17,34.1
16:12:00,34.16,34.28
16:13:00,33.98,34.46
16:14:00,33.67,34.7
16:15:00,33.82,35.37
16:16:00,33.95,35.26
16:17:00,33.92,35.14
16:18:00,33.75,35.12
16:19:00,33.77,34.9
16:20:00,33.55,35.03
16:21:00,33.27,35.34
16:22:00,33.36,35.74
16:23:00,33.46,35.91
16:24:00,33.66,36.03
16:25:00,33.49,35.69
16:26:00,33.36,35.75
16:27:00,33.24,36.05
16:28:00,33.1,36.19
16:29:00,32.98,36.23
16:30:00,32.84,36.12
16:31:00,32.93,36.53
16:32:00,33.01,36.48
16:33:00,33,36.62
16:34:00,33.05,36.71
16:35:00,33.07,37.04
16:36:00,33.21,37.06
16:37:00,33.15,36.63
16:38:00,32.89,36.5
16:39:00,32.81,36.62
16:40:00,32.82,36.65
16:41:00,32.8,36.64
16:42:00,32.81,36.86
16:43:00,32.71,36.85
16:44:00,32.59,36.92
16:45:00,32.56,37.26
16:46:00,32.54,37.51
16:47:00,32.46,37.39
16:48:00,32.55,37.76
16:49:00,32.56,37.67
16:50:00,32.37,37.57
16:51:00,32.35,37.75
16:52:00,32.38,37.71
16:53:00,32.35,37.91
16:54:00,32.35,38.25
16:55:00,32.37,38.16
16:56:00,32.36,38.22
16:57:00,32.31,38.27
16:58:00,32.31,38.37
16:59:00,32.24,38.11
17:00:00,32.21,38.24
17:01:00,32.2,38.4
17:02:00,32.22,38.66
17:03:00,32.25,38.67
17:04:00,32.2,38.71
17:05:00,32.14,38.65
17:06:00,32.11,38.99
17:07:00,32.14,39.12
17:08:00,32.07,38.94
17:09:00,32.05,38.9
17:10:00,32.04,38.89
17:11:00,32.03,39.04
17:12:00,32.02,39.29
17:13:00,32.05,39.69
17:14:00,32.07,39.71
17:15:00,32.04,39.86
17:16:00,31.96,39.93
17:17:00,31.9,39.8
17:18:00,31.87,40.14
17:19:00,31.87,40.25
17:20:00,31.87,40.31
17:21:00,31.83,40.4
17:22:00,31.84,40.52
17:23:00,31.84,40.45
17:24:00,31.8,40.37
17:25:00,31.78,40.45
17:26:00,31.76,40.65
17:27:00,31.77,40.52
17:28:00,31.76,40.59
17:29:00,31.74,40.81
17:30:00,31.71,40.93
17:31:00,31.71,41.04
17:32:00,31.71,40.96
17:33:00,31.68,41.07
17:34:00,31.66,41.24
17:35:00,31.63,41.06
17:36:00,31.61,41.25
17:37:00,31.6,41.27
17:38:00,31.57,41.24
17:39:00,31.53,41.41
17:40:00,31.5,41.45
17:41:00,31.48,41.62
17:42:00,31.46,41.73
17:43:00,31.44,41.66
17:44:00,31.42,41.79
17:45:00,31.41,41.73
17:46:00,31.41,41.8
17:47:00,31.4,42.05
17:48:00,31.37,42.25
17:49:00,31.34,42.24
17:50:00,31.31,42.38
17:51:00,31.29,42.38
17:52:00,31.28,42.28
17:53:00,31.27,42.38
17:54:00,31.26,42.17
17:55:00,31.24,42.42
17:56:00,31.22,42.62
17:57:00,31.19,42.75
17:58:00,31.16,42.88
17:59:00,31.14,42.99
18:00:00,31.13,43.13
18:01:00,31.11,43.14
18:02:00,31.1,43.28
18:03:00,31.09,43.51
18:04:00,31.07,43.45
18:05:00,31.06,43.33
18:06:00,31.05,43.36
18:07:00,31.03,43.5
18:08:00,31.01,43.56
18:09:00,30.98,43.72
18:10:00,30.96,44.02
18:11:00,30.91,44.17
18:12:00,30.87,44.08
18:13:00,30.83,44.18
18:14:00,30.8,44.38
18:15:00,30.78,44.32
18:16:00,30.77,44.42
18:17:00,30.72,45.26
18:18:00,30.67,45.44
18:19:00,30.61,45.32
18:20:00,30.55,45.25
18:21:00,30.49,45.48
18:22:00,30.45,45.64
18:23:00,30.36,45.98
18:24:00,30.26,46.83
18:25:00,30.19,47.48
18:26:00,30.13,47.8
18:27:00,30.07,48.04
18:28:00,30.03,48.23
18:29:00,29.98,48.31
18:30:00,29.82,49.04
18:31:00,29.54,48.24
18:32:00,29.29,47.67
18:33:00,28.99,48.09
18:34:00,28.78,48.89
18:35:00,28.68,49.37
18:36:00,28.58,49.89
18:37:00,28.49,50.27
18:38:00,28.36,50.67
18:39:00,28.25,51.05
18:40:00,28.14,51.32
18:41:00,28.05,51.74
18:42:00,27.99,52.03
18:43:00,27.97,52.27
18:44:00,27.97,52.59
18:45:00,28.01,52.63
18:46:00,28.05,52.68
18:47:00,28.09,52.38
18:48:00,28.05,52.28
18:49:00,27.93,52.39
18:50:00,27.85,52.63
18:51:00,27.8,52.76
18:52:00,27.79,52.83
18:53:00,27.87,52.82
18:54:00,27.9,52.73
18:55:00,27.89,52.48
