<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.11	16:00:00	2004.113	2006.560	2003.900	2006.181	4271	0	200
2023.04.11	17:00:00	2006.161	2006.379	2000.953	2005.548	3777	0	200
2023.04.11	18:00:00	2005.580	2005.841	2003.933	2004.475	2811	0	200
2023.04.11	19:00:00	2004.450	2006.714	2003.428	2004.051	2955	0	200
2023.04.11	20:00:00	2004.082	2004.602	2002.832	2003.530	1365	0	200
2023.04.11	22:00:00	2003.221	2004.289	2002.995	2003.827	995	0	200
2023.04.11	23:00:00	2003.830	2005.020	2003.417	2004.659	1171	0	200
2023.04.12	00:00:00	2004.675	2005.460	2003.961	2005.429	2483	0	200
2023.04.12	01:00:00	2005.418	2014.814	2003.922	2014.494	4854	0	200
2023.04.12	02:00:00	2014.501	2019.170	2013.756	2014.901	4916	0	200
2023.04.12	03:00:00	2014.914	2018.258	2014.131	2017.213	3433	0	200
2023.04.12	04:00:00	2017.250	2021.072	2017.068	2020.341	2585	0	200
2023.04.12	05:00:00	2020.367	2020.746	2017.574	2018.223	3416	0	200
2023.04.12	06:00:00	2018.190	2018.753	2013.501	2015.616	4656	0	200
2023.04.12	07:00:00	2015.619	2016.552	2011.612	2012.953	4323	0	200
2023.04.12	08:00:00	2012.983	2013.681	2008.946	2009.034	4287	0	200
2023.04.12	09:00:00	2009.030	2011.527	2008.564	2010.832	3814	0	200
2023.04.12	10:00:00	2010.801	2011.503	2007.254	2008.813	3446	0	200
2023.04.12	11:00:00	2008.845	2010.244	2007.284	2007.697	3585	0	200
2023.04.12	12:00:00	2007.663	2028.184	2006.221	2022.212	14801	0	200
2023.04.12	13:00:00	2022.246	2023.796	2000.987	2007.764	17896	0	200
2023.04.12	14:00:00	2007.795	2013.086	2003.068	2006.917	11491	0	200
2023.04.12	15:00:00	2006.949	2009.433	2005.607	2005.779	6436	0	200
2023.04.12	16:00:00	2005.748	2009.335	2005.209	2007.834	5164	0	200
2023.04.12	17:00:00	2007.830	2012.566	2006.448	2011.477	5334	0	200
2023.04.12	18:00:00	2011.480	2016.911	2011.311	2015.759	6137	0	200
2023.04.12	19:00:00	2015.790	2018.065	2013.100	2013.651	4712	0	200
2023.04.12	20:00:00	2013.620	2015.065	2013.232	2014.814	1783	0	200
2023.04.12	22:00:00	2014.430	2015.130	2014.013	2015.115	1045	0	200
2023.04.12	23:00:00	2015.083	2018.453	2015.071	2018.149	2013	0	200
2023.04.13	00:00:00	2018.118	2019.731	2016.526	2017.852	3672	0	200
2023.04.13	01:00:00	2017.855	2019.173	2015.814	2017.843	4517	0	200
2023.04.13	02:00:00	2017.812	2019.287	2016.282	2017.818	3806	0	200
2023.04.13	03:00:00	2017.815	2017.867	2015.676	2017.423	2807	0	200
2023.04.13	04:00:00	2017.415	2019.263	2017.370	2018.444	2338	0	200
2023.04.13	05:00:00	2018.459	2019.122	2015.322	2015.364	3456	0	200
2023.04.13	06:00:00	2015.333	2023.115	2015.276	2020.397	4796	0	200
2023.04.13	07:00:00	2020.429	2025.619	2020.429	2024.477	4207	0	200
2023.04.13	08:00:00	2024.500	2029.098	2024.415	2026.566	4644	0	200
2023.04.13	09:00:00	2026.554	2028.580	2025.725	2026.532	3483	0	200
2023.04.13	10:00:00	2026.563	2027.921	2024.954	2026.636	3385	0	200
2023.04.13	11:00:00	2026.628	2028.615	2025.400	2028.573	3565	0	200
2023.04.13	12:00:00	2028.565	2045.746	2026.533	2044.946	11903	0	200
2023.04.13	13:00:00	2045.012	2047.012	2039.724	2046.483	12464	0	200
2023.04.13	14:00:00	2046.513	2048.597	2033.625	2034.176	11144	0	200
2023.04.13	15:00:00	2034.141	2042.359	2033.983	2038.900	6615	0	200
2023.04.13	16:00:00	2038.939	2040.553	2037.251	2040.132	4962	0	200
2023.04.13	17:00:00	2040.163	2044.078	2039.142	2043.755	4850	0	200
2023.04.13	18:00:00	2043.745	2043.974	2037.477	2038.286	3993	0	200
2023.04.13	19:00:00	2038.285	2040.865	2036.599	2040.506	3989	0	200
2023.04.13	20:00:00	2040.476	2041.050	2039.834	2040.487	1411	0	200
2023.04.13	22:00:00	2040.524	2040.730	2039.986	2040.083	997	0	200
2023.04.13	23:00:00	2040.084	2040.155	2038.672	2039.713	1735	0	200
2023.04.14	00:00:00	2039.712	2043.645	2038.594	2041.871	3618	0	200
2023.04.14	01:00:00	2041.841	2045.975	2041.116	2045.897	4345	0	200
2023.04.14	02:00:00	2045.872	2047.392	2044.852	2046.091	3663	0	200
2023.04.14	03:00:00	2046.065	2046.065	2042.828	2045.022	3424	0	200
2023.04.14	04:00:00	2045.021	2046.461	2042.414	2043.216	2673	0	200
2023.04.14	05:00:00	2043.213	2043.674	2039.546	2042.770	4104	0	200
2023.04.14	06:00:00	2042.800	2044.257	2040.632	2041.263	4426	0	200
2023.04.14	07:00:00	2041.283	2041.291	2036.597	2039.196	4979	0	200
2023.04.14	08:00:00	2039.191	2039.308	2031.784	2035.750	4802	0	200
2023.04.14	09:00:00	2035.720	2038.725	2034.484	2038.594	3527	0	200
2023.04.14	10:00:00	2038.627	2042.173	2037.674	2038.234	4460	0	200
2023.04.14	11:00:00	2038.236	2038.238	2032.233	2033.224	5082	0	200
2023.04.14	12:00:00	2033.248	2039.987	2017.211	2024.632	18373	0	200
2023.04.14	13:00:00	2024.600	2028.041	2019.883	2023.469	13398	0	200
2023.04.14	14:00:00	2023.240	2023.240	1997.854	1998.433	17612	0	200
